mr,percap,Yield_2024,Yield_2025,Yield_2026,Yield_2027,Yield_2028,Yield_2029,Yield_2030,Production (Palay)_2024,Production (Palay)_2025,Production (Palay)_2026,Production (Palay)_2027,Production (Palay)_2028,Production (Palay)_2029,Production (Palay)_2030,Production (Rice)_2024,Production (Rice)_2025,Production (Rice)_2026,Production (Rice)_2027,Production (Rice)_2028,Production (Rice)_2029,Production (Rice)_2030,Sufficiency Ratio_2024,Sufficiency Ratio_2025,Sufficiency Ratio_2026,Sufficiency Ratio_2027,Sufficiency Ratio_2028,Sufficiency Ratio_2029,Sufficiency Ratio_2030,Year on Year Yield Growth rates_2024,Year on Year Yield Growth rates_2025,Year on Year Yield Growth rates_2026,Year on Year Yield Growth rates_2027,Year on Year Yield Growth rates_2028,Year on Year Yield Growth rates_2029,Year on Year Yield Growth rates_2030,Production Growth rates_2024,Production Growth rates_2025,Production Growth rates_2026,Production Growth rates_2027,Production Growth rates_2028,Production Growth rates_2029,Production Growth rates_2030
0.63,100,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,024,895 "," 12,890,779 "," 13,788,889 "," 14,750,475 "," 15,780,087 "," 16,882,605 "," 18,063,262 ",71.48,100.18,104.07,110.29,116.84,123.73,130.96,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
0.654,100,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,482,987 "," 13,381,857 "," 14,314,180 "," 15,312,398 "," 16,381,234 "," 17,525,752 "," 18,751,386 ",72.24,103.58,107.59,113.99,120.73,127.81,135.24,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
0.63,110,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,024,895 "," 12,890,779 "," 13,788,889 "," 14,750,475 "," 15,780,087 "," 16,882,605 "," 18,063,262 ",71.48,90.71,95.72,101.50,107.59,114.01,120.75,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
0.654,110,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,482,987 "," 13,381,857 "," 14,314,180 "," 15,312,398 "," 16,381,234 "," 17,525,752 "," 18,751,386 ",72.24,93.82,98.99,104.94,111.21,117.81,124.75,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
0.63,120,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,024,895 "," 12,890,779 "," 13,788,889 "," 14,750,475 "," 15,780,087 "," 16,882,605 "," 18,063,262 ",71.48,82.87,88.60,94.00,99.70,105.70,112.02,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
0.654,120,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,482,987 "," 13,381,857 "," 14,314,180 "," 15,312,398 "," 16,381,234 "," 17,525,752 "," 18,751,386 ",72.24,85.74,91.66,97.22,103.08,109.26,115.77,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
0.63,122.7,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,024,895 "," 12,890,779 "," 13,788,889 "," 14,750,475 "," 15,780,087 "," 16,882,605 "," 18,063,262 ",71.48,80.98,86.86,92.16,97.76,103.66,109.88,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
0.654,122.7,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,482,987 "," 13,381,857 "," 14,314,180 "," 15,312,398 "," 16,381,234 "," 17,525,752 "," 18,751,386 ",72.24,83.80,89.86,95.32,101.09,107.17,113.56,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
0.63,130,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,024,895 "," 12,890,779 "," 13,788,889 "," 14,750,475 "," 15,780,087 "," 16,882,605 "," 18,063,262 ",71.48,76.28,82.48,87.54,92.88,98.52,104.47,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
0.654,130,4.11,4.25,4.54,4.86,5.20,5.56,5.95," 19,087,135 "," 20,461,554 "," 21,887,125 "," 23,413,452 "," 25,047,758 "," 26,797,786 "," 28,671,845 "," 12,482,987 "," 13,381,857 "," 14,314,180 "," 15,312,398 "," 16,381,234 "," 17,525,752 "," 18,751,386 ",72.24,78.95,85.34,90.56,96.06,101.87,108.00,,0.034189379,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346,,0.072007606,0.069670675,0.069736323,0.069801984,0.069867659,0.069933346
