Location,Year,Period,Ecosystem,newyear,oldyear,prod_growth,area_growth,yield_growth,prod_change_area,prod_change_yield,prod_change_total,ps_area,ps_yield
PHILIPPINES,1988,Annual,All Ecosystem,1988,1987,0.050490102,0.042006818,0.008141294,390430.7347,40747.2653,431178,0.90549781,0.09450219
PHILIPPINES,1989,Annual,All Ecosystem,1989,1988,0.054368562,0.030834122,0.022830482,337848.3753,149893.6247,487742,0.692678456,0.307321544
PHILIPPINES,1990,Annual,All Ecosystem,1990,1989,-0.014747792,-0.051056821,0.038262596,-435570.3912,296074.3912,-139496,3.122457928,-2.122457928
PHILIPPINES,1991,Annual,All Ecosystem,1991,1990,0.037984281,0.032012342,0.005786693,283516.205,70469.79502,353986,0.800924909,0.199075091
PHILIPPINES,1992,Annual,All Ecosystem,1992,1991,-0.05627078,-0.066246029,0.010682952,-570757.6358,26435.63585,-544322,1.048566172,-0.048566172
PHILIPPINES,1993,Annual,All Ecosystem,1993,1992,0.033439589,0.026353394,0.006904244,224222.9281,81045.07192,305268,0.734511734,0.265488266
PHILIPPINES,1994,Annual,All Ecosystem,1994,1993,0.117004628,0.112474294,0.004072304,1037234.793,66611.20683,1103846,0.939655344,0.060344656
PHILIPPINES,1995,Annual,All Ecosystem,1995,1994,0.00024625,0.029346877,-0.028270962,358132.7287,-355537.7287,2595,138.0087586,-137.0087586
PHILIPPINES,1996,Annual,All Ecosystem,1996,1995,0.070481334,0.051200006,0.018342207,585532.8948,157386.1052,742919,0.78815173,0.21184827
PHILIPPINES,1997,Annual,All Ecosystem,1997,1996,-0.00129436,-0.027553089,0.027002737,-209636.5612,195031.5612,-14605,14.35375291,-13.35375291
PHILIPPINES,1998,Annual,All Ecosystem,1998,1997,-0.240850822,-0.174955951,-0.079868307,-1642237.119,-1071901.881,-2714139,0.605067433,0.394932567
PHILIPPINES,1999,Annual,All Ecosystem,1999,1998,0.377775276,0.261762147,0.091945324,2361705.271,870095.7286,3231801,0.730770636,0.269229364
PHILIPPINES,2000,Annual,All Ecosystem,2000,1999,0.051141612,0.009561885,0.041185912,133766.4098,469020.5902,602787,0.221913229,0.778086771
PHILIPPINES,2001,Annual,All Ecosystem,2001,2000,0.045640423,0.006774498,0.038604399,93514.93665,471943.0634,565458,0.165379103,0.834620897
PHILIPPINES,2002,Annual,All Ecosystem,2002,2001,0.024375621,-0.004703795,0.029216846,-72044.49631,387827.4963,315783,-0.228145582,1.228145582
PHILIPPINES,2003,Annual,All Ecosystem,2003,2002,0.017273528,-0.009860075,0.027403807,-85404.28943,314635.2894,229231,-0.372568673,1.372568673
